Unnamed: 0,context,head,relation,tail,label
5125,"['faith was learning to play the piano .', 'she had practiced for her lesson all week long .', 'her teacher was very excited to see how well faith was playing .', 'in the first song faith missed a couple of notes but not too many .', 'her teacher was pleased and this encouraged faith to keep practicing .']",practice,ObjectUse,perfect skill,1
5818,"['kyle asked a girl to go to the movies with him .', 'kyle planned on asking this girl to be his girlfriend after the movies .', 'after the movie kyle asked the girl if they could date .', 'the girl refused and said she just wanted to be friends .', 'sadly , kyle agreed and they stayed friends .']",PersonX invites PersonY to a movie,xIntent,to see a movie with a friend.,1
1408,"['ben wanted to learn how to practice ballet .', 'he was embarrassed because he knew his friends would make fun of him .', 'so , he decided he was going to take a class a town over .', 'on his first day , ben walked into class and was shocked .', 'there in the studio was his best friend alex ready to start the class !']",PersonX wants to be a ballerina,xNeed,to ger enrolled into a  dance school,1
2978,"['lawrence was visiting summer camp for the first time .', ""he was nervous that he would n't make any friends ."", 'he was sitting in the mess hall his first morning eating breakfast .', 'to his delight , a group of boys invited him to sit with them .', 'soon he was close friends with all of them and loving it .']",PersonX loves one 's ___,xEffect,BE FRIEND,1
4912,"[""jack 's friend works as an insurance broker ."", 'his friend invited jack to come work for him .', ""jack was nervous because he did n't know anything about insurance ."", 'the cute secretary however taught jack everything he needed to know .', 'now jack loves working at the office !']",PersonX gives PersonY a job,xNeed,hire PersonY,1
9168,"['morgan worked very hard in school .', 'she graduated high school and attended her dream school .', 'whole she was there , her aspirations grew to a double major .', 'but , she had to meet certain requirements to achieve this goal .', 'after much hard work and perseverance , she got accepted .']",PersonX achieves one 's ___,xIntent,to be fulfilled,1
3672,"['bradley bought a widescreen hd television .', 'he wanted to use it to watch nature documentaries .', 'he invited friends over to see it .', 'he told them that he wanted to watch a documentary .', 'they outvoted him and decided to watch a basketball game instead .']",buy,xNeed,choose what want to buy,1
6308,"['bethany was listening to some music in the car .', 'she suddenly got pulled over by a police officer .', 'the police officer said that she was going 10 miles over the limit .', 'bethany apologized for not paying more attention .', 'the police officer wrote bethany a ticket for $ 50 .']",police,ObjectUse,fine people who speed,1
9867,"['mason had always wanted to pick apples in vermont .', 'finally he made some friends who shared his dream .', 'they drove together to vermont one fall day .', 'mason picked a basket of delicious apples that day .', 'he was so proud that his dream of seeing vermont came true .']",apple,AtLocation,orchard,1
6422,"['bethany was listening to some music in the car .', 'she suddenly got pulled over by a police officer .', 'the police officer said that she was going 10 miles over the limit .', 'bethany apologized for not paying more attention .', 'the police officer wrote bethany a ticket for $ 50 .']",traffic ticket,ObjectUse,keep the streets safe,1
44,"['hank had to wrap a lot of gifts for his family .', 'he ran out of wrapping paper with 4 gifts to go .', 'he went to the kitchen and found shopping bags .', 'he cut up the bags to make sheets of paper .', 'he used the paper to wrap the last of the gifts .']",PersonX wraps gifts,xWant,to deliver the gifts,1
3158,"['trip loves to go fishing but he hates going alone .', 'he met a fellow fisherman at the local bait shop .', 'they went fishing together and had a great time .', 'trip later asked his friend to meet up .', ""now they 're dating and trip could n't be happier .""]",PersonX invites PersonX's friend over,xEffect,they have a good time,1
2947,"['lawrence was visiting summer camp for the first time .', ""he was nervous that he would n't make any friends ."", 'he was sitting in the mess hall his first morning eating breakfast .', 'to his delight , a group of boys invited him to sit with them .', 'soon he was close friends with all of them and loving it .']",PersonX asks PersonY to sit,xIntent,to talk to them,1
8919,"[""cob brought his tuba to the school 's band room ."", 'all the kids in his class looked at him expectantly .', 'cob began to play a swedish death metal song .', 'all the kids in the classroom covered their ears with their hands .', 'cob ignored them and kept playing the song he was passionate about .']",PersonX plays loud music,isBefore,PersonX rocks out to the music,1
5748,"['shawn wanted a bike to ride to school .', 'he often complained to his mom that he wanted the bike .', 'she said when he earned the money , he could have the bike .', 'he saved up his money in a piggy bank .', 'when it was full , shawn broke the piggy bank and bought a bike .']",bank,ObjectUse,save money,1
3763,"['bradley bought a widescreen hd television .', 'he wanted to use it to watch nature documentaries .', 'he invited friends over to see it .', 'he told them that he wanted to watch a documentary .', 'they outvoted him and decided to watch a basketball game instead .']",PersonX invites PersonY over,xIntent,to have fun.,1
2566,"['alex was trying to earn money for a foreign trip .', 'he set up a lemonade stand out front his house .', 'he put up a sign letting everyone know he was in business .', 'a cop stopped by and asked to see his vendor permit .', 'alex took down his stand and slumped back into his house .']",PersonX earns PersonX's own money,xIntent,to save the money to buy something.,1
10181,"['kim passed a note to her best friend during third period recess .', 'the teacher caught the passed note and confiscated it .', 'the teacher read the note and turned a crimson color .', ""kim 's note was about how she thought the teacher was cute ."", 'the teacher returned the note to kim with a smile .']",PersonX smiles back at PersonY,oWant,to say hello,1
3260,"['mark wanted to buy a new laptop .', 'he went to the electronics store to check some out .', 'he tested different ones and found the one he liked .', 'then he went home and found the best deal online .', 'he got it within a couple of days and was really happy .']",store,ObjectUse,buy things in,1
8571,"['dan thought it would be cool to ride a motorcycle .', 'he took a motorcycle license course and passed .', 'he shopped for a bike and found a cool harley .', 'that night , the news showed a man killed on a motorcycle .', ""dan 's new motorcycle gathers dust in the garage .""]",motorcycle,ObjectUse,look really cool,1
1234,"['shelly and mike wanted to buy a house by the ocean .', 'since they were going to retire they wanted to move .', 'they decided to move to california .', 'they met with a real estate agent to begin their hunt .', 'after a few months they found the perfect house and bought it .']",PersonX decides to move,xWant,to look for a house,1
1441,"['ben wanted to learn how to practice ballet .', 'he was embarrassed because he knew his friends would make fun of him .', 'so , he decided he was going to take a class a town over .', 'on his first day , ben walked into class and was shocked .', 'there in the studio was his best friend alex ready to start the class !']",friend,ObjectUse,joking with,1
8590,"['dan thought it would be cool to ride a motorcycle .', 'he took a motorcycle license course and passed .', 'he shopped for a bike and found a cool harley .', 'that night , the news showed a man killed on a motorcycle .', ""dan 's new motorcycle gathers dust in the garage .""]",PersonX wants a motorcycle,xWant,learn to ride the motorcycle,1
2093,"['jeremy wants a new pair of shoes .', 'he goes to the shoe store and talks to the owner .', 'the owner tells him he makes all the shoes by hand .', 'jim orders a pair , the owner works hard but realizes he messed up .', 'the owner made a mistake and decided to make jim two pairs at no cost .']",pair of shoes,ObjectUse,wear on feet,1
9172,"['morgan worked very hard in school .', 'she graduated high school and attended her dream school .', 'whole she was there , her aspirations grew to a double major .', 'but , she had to meet certain requirements to achieve this goal .', 'after much hard work and perseverance , she got accepted .']",PersonX meets PersonX's goals,xIntent,to be successful,1
5153,"['faith was learning to play the piano .', 'she had practiced for her lesson all week long .', 'her teacher was very excited to see how well faith was playing .', 'in the first song faith missed a couple of notes but not too many .', 'her teacher was pleased and this encouraged faith to keep practicing .']",PersonX practices hard every day,isBefore,PersonX learns how to play their favorite music,1
7045,"['duke wanted to play football on his birthday .', 'ellen wanted duke to go to a movie with her .', 'ellen told duke he could play football after the movie .', 'duke told ellen they could see a movie after football .', 'duke and ellen decided to go see a movie about football .']",football,HasProperty,played by football teams,1
3136,"['trip loves to go fishing but he hates going alone .', 'he met a fellow fisherman at the local bait shop .', 'they went fishing together and had a great time .', 'trip later asked his friend to meet up .', ""now they 're dating and trip could n't be happier .""]",PersonX asks PersonY to meet,xIntent,to do something together,1
1057,"['troy always wanted to travel across the country .', 'he decided to do research on places he wanted to go .', 'he asked a few friends if they wanted to come .', 'he rented a car with his friends and they started the trip .', 'they had a lot of fun traveling the country .']",PersonX starts PersonX's car,xWant,to drive away,1
9060,"['morgan worked very hard in school .', 'she graduated high school and attended her dream school .', 'whole she was there , her aspirations grew to a double major .', 'but , she had to meet certain requirements to achieve this goal .', 'after much hard work and perseverance , she got accepted .']",PersonX works very hard in school,xWant,to go to a good college,1
2025,"['brandon saw an ad where his favorite band was coming to town .', 'he instantly logged onto his computer and bought a ticket .', 'he bought a new outfit for the show .', 'he arrived early to the show to hear the cover band .', 'after the concert , he waited in line and got autographs .']",PersonX sees a concert,HinderedBy,The concert is sold out.,1
3634,"['my boyfriend and i were walking along the beach .', 'he asked me to hold the car keys as we were walking .', 'i accidentally dropped the keys into the water .', 'the alarm remote was attached to the keychain .', ""when we got back to the car , we could n't disable the alarm .""]",alarm,ObjectUse,disengage the lock and alarm,1
7122,"['duke wanted to play football on his birthday .', 'ellen wanted duke to go to a movie with her .', 'ellen told duke he could play football after the movie .', 'duke told ellen they could see a movie after football .', 'duke and ellen decided to go see a movie about football .']",PersonX decides to go see a movie,oWant,to watch the movie too,1
1337,"['shelly and mike wanted to buy a house by the ocean .', 'since they were going to retire they wanted to move .', 'they decided to move to california .', 'they met with a real estate agent to begin their hunt .', 'after a few months they found the perfect house and bought it .']",house,ObjectUse,be a  home,1
9702,"['tom took his clothes out of his dryer .', 'he noticed the clothes did not dry because the heater broke .', 'he hung his clothes out to dry .', 'he told his landlord about the dryer breaking .', 'the landlord ordered a new dryer and it was delivered the next day .']",landlord,ObjectUse,Fix something broken in home,1
1419,"['ben wanted to learn how to practice ballet .', 'he was embarrassed because he knew his friends would make fun of him .', 'so , he decided he was going to take a class a town over .', 'on his first day , ben walked into class and was shocked .', 'there in the studio was his best friend alex ready to start the class !']",PersonX wants to be a dancer,xNeed,to find a place to take dance lessons.,1
868,"['angie took her kids to the park .', 'they played for a long time and then walked back home .', 'when she got home she realized she was locked out .', 'she went to her neighbors to call a locksmith .', 'the locksmith unlocked the door and charged her lots of money .']",door with lock,ObjectUse,locking things out,1
2877,"['lawrence was visiting summer camp for the first time .', ""he was nervous that he would n't make any friends ."", 'he was sitting in the mess hall his first morning eating breakfast .', 'to his delight , a group of boys invited him to sit with them .', 'soon he was close friends with all of them and loving it .']",breakfast,HasProperty,eaten in morning,1
1016,"['troy always wanted to travel across the country .', 'he decided to do research on places he wanted to go .', 'he asked a few friends if they wanted to come .', 'he rented a car with his friends and they started the trip .', 'they had a lot of fun traveling the country .']",friend,ObjectUse,help them have a great time,1
2126,"['jeremy wants a new pair of shoes .', 'he goes to the shoe store and talks to the owner .', 'the owner tells him he makes all the shoes by hand .', 'jim orders a pair , the owner works hard but realizes he messed up .', 'the owner made a mistake and decided to make jim two pairs at no cost .']",shoe store,ObjectUse,select shoes from,1
4151,"['jordan decides he must find something to occupy his time .', 'he decides to try playing a game of solitaire .', 'he draws good cards initially , but quits the game before it is over .', 'jordan shuffles the cards and returns them to a drawer .', 'he is happy that he found something to take up a little time .']",PersonX decides to play,xNeed,to know how to play,1
8642,"['dan thought it would be cool to ride a motorcycle .', 'he took a motorcycle license course and passed .', 'he shopped for a bike and found a cool harley .', 'that night , the news showed a man killed on a motorcycle .', ""dan 's new motorcycle gathers dust in the garage .""]",PersonX rides motorcycles,isAfter,PersonX goes to the motorcycle dealer,1
4252,"['jordan decides he must find something to occupy his time .', 'he decides to try playing a game of solitaire .', 'he draws good cards initially , but quits the game before it is over .', 'jordan shuffles the cards and returns them to a drawer .', 'he is happy that he found something to take up a little time .']",card,ObjectUse,playing games,1
9309,"['jackson rode his bike to school .', 'when he went to leave , the bike was gone .', 'jackson walked home from school .', 'he told his parents his bike was missing .', ""jackson 's parents called the school about the bike .""]",bike,ObjectUse,pedal to school,1
6997,"['duke wanted to play football on his birthday .', 'ellen wanted duke to go to a movie with her .', 'ellen told duke he could play football after the movie .', 'duke told ellen they could see a movie after football .', 'duke and ellen decided to go see a movie about football .']",go to movie,HasSubEvent,watching movie,1
1978,"['brandon saw an ad where his favorite band was coming to town .', 'he instantly logged onto his computer and bought a ticket .', 'he bought a new outfit for the show .', 'he arrived early to the show to hear the cover band .', 'after the concert , he waited in line and got autographs .']",new clothes,ObjectUse,look good,1
6998,"['duke wanted to play football on his birthday .', 'ellen wanted duke to go to a movie with her .', 'ellen told duke he could play football after the movie .', 'duke told ellen they could see a movie after football .', 'duke and ellen decided to go see a movie about football .']",go to movie,xNeed,have money for ticket,1
8915,"[""cob brought his tuba to the school 's band room ."", 'all the kids in his class looked at him expectantly .', 'cob began to play a swedish death metal song .', 'all the kids in the classroom covered their ears with their hands .', 'cob ignored them and kept playing the song he was passionate about .']",PersonX plays loud music,xWant,listen to the music,1
199,"['hank had to wrap a lot of gifts for his family .', 'he ran out of wrapping paper with 4 gifts to go .', 'he went to the kitchen and found shopping bags .', 'he cut up the bags to make sheets of paper .', 'he used the paper to wrap the last of the gifts .']",gift paper,ObjectUse,wrap the gift,1
5182,"['faith was learning to play the piano .', 'she had practiced for her lesson all week long .', 'her teacher was very excited to see how well faith was playing .', 'in the first song faith missed a couple of notes but not too many .', 'her teacher was pleased and this encouraged faith to keep practicing .']",teacher,ObjectUse,teach the lessons,1
10813,"['daniel was walking around a plaza .', 'he noticed someone familiar across the food court .', 'he tried to get closer by walking towards her .', 'he realized that it was his girlfriend , making out with a guy .', ""the girlfriend told him that there 's a good reason behind her actions .""]",PersonX tells PersonY to tell,isAfter,PersonX sees someone punching someone else while standing next to their friend,0
5723,"['shawn wanted a bike to ride to school .', 'he often complained to his mom that he wanted the bike .', 'she said when he earned the money , he could have the bike .', 'he saved up his money in a piggy bank .', 'when it was full , shawn broke the piggy bank and bought a bike .']",savings,ObjectUse,buy a yacht,0
2768,"['alex was trying to earn money for a foreign trip .', 'he set up a lemonade stand out front his house .', 'he put up a sign letting everyone know he was in business .', 'a cop stopped by and asked to see his vendor permit .', 'alex took down his stand and slumped back into his house .']",PersonX is sitting at home,xIntent,to wait on an answer for something before going out,0
9417,"['jackson rode his bike to school .', 'when he went to leave , the bike was gone .', 'jackson walked home from school .', 'he told his parents his bike was missing .', ""jackson 's parents called the school about the bike .""]",parent,CapableOf,leave family,0
8355,"['i went shopping on black friday morning with my mom .', 'we stopped at a department store that had great deals that day .', 'i went into the dressing room to try on a few things .', 'i left my own pants in the dressing room with my wallet inside .', 'when i returned to the dressing room , someone had taken the cash out .']",PersonX goes shopping with PersonY,xEffect,gets bored from shopping,0
8916,"[""cob brought his tuba to the school 's band room ."", 'all the kids in his class looked at him expectantly .', 'cob began to play a swedish death metal song .', 'all the kids in the classroom covered their ears with their hands .', 'cob ignored them and kept playing the song he was passionate about .']",PersonX plays loud music,xWant,Call friends over to enjoy the music.,0
1633,"['he liked his roommate , and she knew , but he never admitted it .', 'she asked him to spend the day watching movies and having drinks .', 'she sat on his bed , where the surround sound speakers were .', 'she asked if he would miss out on the sound if he sat where he was .', ""he did n't realize she wanted him to sit with her and liked him back .""]",PersonX confronts PersonX's roommate,xIntent,to tell the roommate to leave,0
5498,"[""johnny 's uncle , bob , came by the house and said something to johnny ."", 'bob told johnny that today was the day he would become a man .', 'bob then took johnny out to a firing range .', 'bob showed johnny how to fire a weapon and hit a target .', 'johnny felt awesome , like he had taken a step forward in life .']",PersonX likes ___ either,xWant,show strength,0
3311,"['mark wanted to buy a new laptop .', 'he went to the electronics store to check some out .', 'he tested different ones and found the one he liked .', 'then he went home and found the best deal online .', 'he got it within a couple of days and was really happy .']",PersonX finds one 's ___,xWant,to share book,0
