,text,label,label_0,label_1,label_2
0,PersonX abandons the ___ altogether,"[0, 1, 1]",0,1,1
1,PersonX abolishes ___ altogether,"[0, 1, 1]",0,1,1
2,PersonX abolishes ___ in the states,"[0, 1, 1]",0,1,1
3,PersonX abolishes the ___ altogether,"[0, 1, 1]",0,1,1
4,PersonX absolutely loved,"[0, 1, 1]",0,1,1
5,PersonX absolutely loved ___,"[0, 0, 1]",0,0,1
6,PersonX absolutely loved it,"[0, 1, 1]",0,1,1
7,PersonX accepts PersonY appointment,"[0, 1, 1]",0,1,1
8,PersonX accepts PersonY's proposal,"[0, 1, 1]",0,1,1
9,PersonX accepts PersonY's resignation,"[0, 1, 1]",0,1,1
10,PersonX accepts ___ as PersonX's savior,"[0, 0, 1]",0,0,1
11,PersonX accepts another ___,"[0, 1, 1]",0,1,1
12,PersonX accepts every ___,"[0, 1, 1]",0,1,1
13,PersonX accepts into college,"[0, 1, 1]",0,1,1
14,PersonX accepts one 's ___,"[0, 1, 1]",0,1,1
15,PersonX accepts the challenge,"[0, 1, 1]",0,1,1
16,PersonX accepts the dare,"[0, 1, 1]",0,1,1
17,PersonX accepts the fact,"[0, 1, 1]",0,1,1
18,PersonX accepts without question,"[0, 1, 1]",0,1,1
19,PersonX accidentally broke ___,"[0, 1, 1]",0,1,1
20,PersonX accidentally bumped,"[0, 1, 1]",0,1,1
21,PersonX accidentally burned ___,"[0, 1, 1]",0,1,1
22,PersonX accidentally cut ___,"[0, 1, 1]",0,1,1
23,PersonX accidentally dropped ___ on the ground,"[0, 1, 1]",0,1,1
24,PersonX accidentally dropped it,"[0, 1, 1]",0,1,1
25,PersonX accidentally fell,"[0, 1, 1]",0,1,1
26,PersonX accidentally got,"[0, 1, 1]",0,1,1
27,PersonX accidentally got ___,"[0, 0, 1]",0,0,1
28,PersonX accidentally hit,"[0, 1, 1]",0,1,1
29,PersonX accidentally hit ___,"[0, 1, 1]",0,1,1
30,PersonX accidentally knocked,"[0, 1, 1]",0,1,1
31,PersonX accidentally knocked over,"[0, 1, 1]",0,1,1
32,PersonX accidentally left,"[0, 1, 1]",0,1,1
33,PersonX accidentally left ___,"[0, 1, 1]",0,1,1
34,PersonX accidentally put,"[0, 0, 1]",0,0,1
35,PersonX accidentally put ___,"[0, 1, 1]",0,1,1
36,PersonX accidentally shot,"[0, 1, 1]",0,1,1
37,PersonX accidentally spilled,"[0, 1, 1]",0,1,1
38,PersonX accidentally spilled ___,"[0, 1, 1]",0,1,1
39,PersonX accidentally stepped,"[0, 1, 1]",0,1,1
40,PersonX accidentally threw ___,"[0, 1, 1]",0,1,1
41,PersonX accidentally tripped,"[0, 1, 1]",0,1,1
42,PersonX accidently left,"[0, 1, 1]",0,1,1
43,PersonX accompanies PersonY far,"[0, 1, 1]",0,1,1
44,PersonX accompanies by PersonX's wife,"[0, 1, 1]",0,1,1
45,PersonX accompanies by PersonY's wife,"[0, 1, 1]",0,1,1
46,PersonX accomplishes PersonX's goal,"[0, 1, 1]",0,1,1
47,PersonX accomplishes PersonX's goals,"[0, 1, 1]",0,1,1
48,PersonX accomplishes PersonX's objectives,"[0, 1, 1]",0,1,1
49,PersonX accomplishes PersonX's purpose,"[0, 1, 1]",0,1,1
50,PersonX accomplishes PersonX's purposes,"[0, 1, 1]",0,1,1
51,PersonX accomplishes PersonX's task,"[0, 1, 1]",0,1,1
52,PersonX accomplishes PersonX's work,"[0, 1, 1]",0,1,1
53,PersonX accomplishes PersonY's objectives,"[0, 1, 1]",0,1,1
54,PersonX accomplishes PersonY's work,"[0, 1, 1]",0,1,1
55,PersonX accomplishes the ___ in view,"[0, 1, 1]",0,1,1
56,PersonX accuses PersonY of cheating,"[0, 1, 1]",0,1,1
57,PersonX accuses ___ of cheating,"[0, 0, 1]",0,0,1
58,PersonX aces PersonX's exam,"[0, 1, 1]",0,1,1
59,PersonX aces PersonX's interview,"[0, 1, 1]",0,1,1
60,PersonX aces the exam,"[0, 0, 1]",0,0,1
61,PersonX aces the test,"[0, 1, 1]",0,1,1
62,PersonX achieves PersonX's aim,"[0, 1, 1]",0,1,1
63,PersonX achieves PersonX's aims,"[0, 1, 1]",0,1,1
64,PersonX achieves PersonX's ends,"[0, 1, 1]",0,1,1
65,PersonX achieves PersonX's goal,"[0, 1, 1]",0,1,1
66,PersonX achieves PersonX's goals,"[0, 1, 1]",0,1,1
67,PersonX achieves PersonX's objectives,"[0, 1, 1]",0,1,1
68,PersonX achieves PersonX's potential,"[0, 1, 1]",0,1,1
69,PersonX achieves PersonY end,"[0, 1, 1]",0,1,1
70,PersonX achieves PersonY goal,"[0, 1, 1]",0,1,1
71,PersonX achieves PersonY understanding,"[0, 1, 1]",0,1,1
72,PersonX achieves ___ in life,"[0, 1, 1]",0,1,1
73,PersonX achieves one 's ___,"[0, 0, 1]",0,0,1
74,PersonX achieves the organization 's ___,"[0, 0, 1]",0,0,1
75,PersonX acknowledges gratefully the ___,"[0, 1, 1]",0,1,1
76,PersonX acknowledges with gratitude the ___,"[0, 1, 1]",0,1,1
77,PersonX acknowledges with thanks the ___,"[0, 0, 1]",0,0,1
78,PersonX acquires PersonY interest,"[0, 1, 1]",0,1,1
79,PersonX acquires PersonY knowledge,"[0, 1, 1]",0,1,1
80,PersonX acts PersonX's age,"[0, 1, 1]",0,1,1
81,PersonX acts as PersonY agent,"[0, 1, 1]",0,1,1
82,PersonX acts as PersonY intermediary,"[0, 1, 1]",0,1,1
83,PersonX acts funny,"[0, 1, 1]",0,1,1
84,PersonX acts in PersonY capacity,"[0, 1, 1]",0,1,1
85,PersonX acts in PersonY manner,"[0, 1, 1]",0,1,1
86,PersonX acts in PersonY way,"[0, 1, 1]",0,1,1
87,PersonX acts like PersonY,"[0, 1, 1]",0,1,1
88,PersonX acts like a PersonY,"[0, 1, 1]",0,1,1
89,PersonX acts like a man,"[0, 1, 1]",0,1,1
90,PersonX acts like men,"[0, 1, 1]",0,1,1
91,PersonX acts on PersonX's behalf,"[0, 1, 1]",0,1,1
92,PersonX acts on PersonY's behalf,"[0, 1, 1]",0,1,1
93,PersonX acts quickly,"[0, 1, 1]",0,1,1
94,PersonX acts strange,"[0, 1, 1]",0,1,1
95,PersonX actually got,"[0, 0, 1]",0,0,1
96,PersonX actually liked ___,"[0, 1, 1]",0,1,1
97,PersonX adapts to PersonX's environment,"[0, 1, 1]",0,1,1
98,PersonX adapts to PersonY's environment,"[0, 1, 1]",0,1,1
99,PersonX addresses the ___ directly,"[0, 1, 1]",0,1,1
100,PersonX addresses women 's ___,"[0, 1, 1]",0,1,1
